"iso","qog_country","country","kinship_score","source_status"
"ITA","Italy","Italy",0.0635396167635918,"Matched in both"
"JAM","Jamaica","Jamaica",0.425325751304626,"Matched in both"
"JOR","Jordan","Jordan",0.731710970401764,"Matched in both"
"JPN","Japan","Japan",0.576072692871094,"Matched in both"
"KAZ","Kazakhstan","Kazakhstan",0.876964032649994,"Matched in both"
"KEN","Kenya","Kenya",0.87994247674942,"Matched in both"
"KGZ","Kyrgyzstan","Kyrgyzstan",0.953488826751709,"Matched in both"
"KHM","Cambodia","Cambodia",0.0705993622541428,"Matched in both"
"KIR","Kiribati","Kiribati",0.75,"Matched in both"
"KNA","Saint Kitts and Nevis","Saint Kitts and Nevis",1,"Matched in both"
"KOR","Korea (the Republic of)","Korea Republic of",0.75,"Matched in both"
"KWT","Kuwait",NA,NA,"QoG only"
"LAO","Lao People's Democratic Republic (the)","Lao People's Democratic Republic",0.496206134557724,"Matched in both"
"LBN","Lebanon","Lebanon",0.65862500667572,"Matched in both"
"LBR","Liberia","Liberia",0.996736466884613,"Matched in both"
"LBY","Libya","Libya",0.952390134334564,"Matched in both"
"LCA","Saint Lucia","Saint Lucia",1,"Matched in both"
"LIE","Liechtenstein","Liechtenstein",0,"Matched in both"
"LKA","Sri Lanka","Sri Lanka",0.642068147659302,"Matched in both"
"LSO","Lesotho","Lesotho",0.753344297409058,"Matched in both"
"LTU","Lithuania","Lithuania",0.424937754869461,"Matched in both"
"LUX","Luxembourg","Luxembourg",0,"Matched in both"
"LVA","Latvia","Latvia",0.358918607234955,"Matched in both"
"MAR","Morocco","Morocco",0.749740600585938,"Matched in both"
"MCO","Monaco",NA,NA,"QoG only"
"MDA","Moldova (the Republic of)","Moldova Republic of",0.272905230522156,"Matched in both"
"MDG","Madagascar","Madagascar",0.772703289985657,"Matched in both"
"MDV","Maldives","Maldives",0.5,"Matched in both"
"MEX","Mexico","Mexico",0.315201699733734,"Matched in both"
"MHL","Marshall Islands","Marshall Islands",0.75,"Matched in both"
"MKD","North Macedonia","Macedonia the former Yugoslav Republic of",0.500497341156006,"Matched in both"
"MLI","Mali","Mali",0.88713139295578,"Matched in both"
"MLT","Malta","Malta",1,"Matched in both"
"MMR","Myanmar","Myanmar",0.277593731880188,"Matched in both"
"MNE","Montenegro",NA,NA,"QoG only"
"MNG","Mongolia","Mongolia",0.773465514183044,"Matched in both"
"MNP",NA,"Northern Mariana Islands",0,"Kinship only"
"MOZ","Mozambique","Mozambique",0.925022959709167,"Matched in both"
"MRT","Mauritania","Mauritania",0.904196560382843,"Matched in both"
"MSR",NA,"Montserrat",1,"Kinship only"
"MTQ",NA,"Martinique",1,"Kinship only"
"MUS","Mauritius","Mauritius",0.859543323516846,"Matched in both"
"MWI","Malawi","Malawi",0.737564086914062,"Matched in both"
"MYS","Malaysia","Malaysia",0.47704216837883,"Matched in both"
"NAM","Namibia","Namibia",0.711286187171936,"Matched in both"
"NCL",NA,"New Caledonia",0.849851131439209,"Kinship only"
"NER","Niger (the)","Niger",0.778837919235229,"Matched in both"
"NFK",NA,"Norfolk Island",0,"Kinship only"
"NGA","Nigeria","Nigeria",0.951102316379547,"Matched in both"
"NIC","Nicaragua","Nicaragua",0.256293773651123,"Matched in both"
"NIU",NA,"Niue",0.75,"Kinship only"
"NLD","Netherlands (the)","Netherlands",0.261425882577896,"Matched in both"
"NOR","Norway","Norway",0.00521880341693759,"Matched in both"
"NPL","Nepal","Nepal",0.756998896598816,"Matched in both"
"NRU","Nauru","Nauru",0.75,"Matched in both"
"NZL","New Zealand","New Zealand",0.614273011684418,"Matched in both"
"OMN","Oman",NA,NA,"QoG only"
"PAK","Pakistan","Pakistan",0.809174478054047,"Matched in both"
"PAN","Panama","Panama",0.351325243711472,"Matched in both"
"PER","Peru","Peru",0.32791855931282,"Matched in both"
"PHL","Philippines (the)","Philippines",0.075527586042881,"Matched in both"
"PLW","Palau","Palau",0.75,"Matched in both"
"PNG","Papua New Guinea","Papua New Guinea",0.821544289588928,"Matched in both"
"POL","Poland","Poland",0.499983996152878,"Matched in both"
"PRI",NA,"Puerto Rico",0.259838968515396,"Kinship only"
"PRK","Korea (the Democratic People's Republic of)","Korea Democratic People's Republic of",0.750044643878937,"Matched in both"
"PRT","Portugal","Portugal",0.499798804521561,"Matched in both"
"PRY","Paraguay","Paraguay",0.25853356719017,"Matched in both"
"PYF",NA,"French Polynesia",0.254436314105988,"Kinship only"
"QAT","Qatar","Qatar",0.72108381986618,"Matched in both"
"REU",NA,"Reunion",1,"Kinship only"
"ROU","Romania","Romania",0.0666466355323792,"Matched in both"
"RUS","Russian Federation (the)","Russian Federation",0.327276945114136,"Matched in both"
"RWA","Rwanda","Rwanda",1,"Matched in both"
"SAU","Saudi Arabia","Saudi Arabia",0.649151384830475,"Matched in both"
"SDN","Sudan (the)","Sudan",0.765378475189209,"Matched in both"
"SEN","Senegal","Senegal",0.851219534873962,"Matched in both"
"SGP","Singapore","Singapore",0.630525588989258,"Matched in both"
"SHN",NA,"Saint Helena Ascension and Tristan da Cunha",0,"Kinship only"
"SLB","Solomon Islands","Solomon Islands",0.721008777618408,"Matched in both"
"SLE","Sierra Leone","Sierra Leone",0.995886385440826,"Matched in both"
"SLV","El Salvador","El Salvador",0.280381977558136,"Matched in both"
"SMR","San Marino","San Marino",0,"Matched in both"
"SOM","Somalia","Somalia",0.999904036521912,"Matched in both"
"SPM",NA,"Saint Pierre and Miquelon",0,"Kinship only"
"SRB","Serbia",NA,NA,"QoG only"
"SSD","South Sudan",NA,NA,"QoG only"
"STP","Sao Tome and Principe","Sao Tome and Principe",1,"Matched in both"
"SUR","Suriname","Suriname",0.316653609275818,"Matched in both"
"SVK","Slovakia","Slovakia",0.49962916970253,"Matched in both"
"SVN","Slovenia","Slovenia",0.994653701782227,"Matched in both"
"SWE","Sweden","Sweden",0.00110693753231317,"Matched in both"
"SWZ","Eswatini","Swaziland",0.935488104820251,"Matched in both"
"SYC","Seychelles","Seychelles",1,"Matched in both"
"SYR","Syrian Arab Republic (the)","Syrian Arab Republic",0.749377846717834,"Matched in both"
"TCA",NA,"Turks and Caicos Islands",1,"Kinship only"
"TCD","Chad","Chad",0.868066430091858,"Matched in both"
"TGO","Togo","Togo",0.977414011955261,"Matched in both"
"THA","Thailand","Thailand",0.286887437105179,"Matched in both"
"TJK","Tajikistan","Tajikistan",0.999067187309265,"Matched in both"
"TKL",NA,"Tokelau",1,"Kinship only"
"TKM","Turkmenistan","Turkmenistan",0.969640076160431,"Matched in both"
"TLS","Timor-Leste","Timor-Leste",0.98520690202713,"Matched in both"
"TON","Tonga","Tonga",0.75,"Matched in both"
"TTO","Trinidad and Tobago","Trinidad and Tobago",0.902138948440552,"Matched in both"
"TUN","Tunisia","Tunisia",0.999926090240479,"Matched in both"
"TUR","Turkey","Turkey",0.711278915405273,"Matched in both"
"TUV","Tuvalu","Tuvalu",1,"Matched in both"
"TWN","Taiwan (Province of China)","Taiwan Province of China",0.777117788791656,"Matched in both"
"TZA","Tanzania, the United Republic of","Tanzania United Republic of",0.859523594379425,"Matched in both"
"UGA","Uganda","Uganda",0.832318544387817,"Matched in both"
"UKR","Ukraine","Ukraine",0.406118035316467,"Matched in both"
"URY","Uruguay","Uruguay",0.1506487429142,"Matched in both"
"USA","United States of America (the)","United States",0.157959312200546,"Matched in both"
"UZB","Uzbekistan","Uzbekistan",0.960078835487366,"Matched in both"
"VCT","Saint Vincent and the Grenadines","Saint Vincent and the Grenadines",1,"Matched in both"
"VEN","Venezuela (Bolivarian Republic of)","Venezuela Bolivarian Republic of",0.295353293418884,"Matched in both"
"VGB",NA,"Virgin Islands British",1,"Kinship only"
"VIR",NA,"Virgin Islands U.S.",1,"Kinship only"
"VNM","Viet Nam","Viet Nam",0.85529363155365,"Matched in both"
"VUT","Vanuatu","Vanuatu",0.834302246570587,"Matched in both"
"WSM","Samoa","Samoa",0.75,"Matched in both"
"YEM","Yemen","Yemen",0.991562962532043,"Matched in both"
"ZAF","South Africa","South Africa",0.693780899047852,"Matched in both"
"ZMB","Zambia","Zambia",0.664122462272644,"Matched in both"
"ZWE","Zimbabwe","Zimbabwe",0.898809611797333,"Matched in both"
