"country","iso","freedom","kinship","log_gdppc","log_pop","urban_pct","trade","internet","unemp","log_oilrent","log_gdppc_c"
"Iran (Islamic Republic of)","IRN","Not Free",0.776357173919678,8.60617694248556,18.3100200515849,76.3342208862305,48.9183508223052,79.061,9.085,2.95833659484378,-0.0832039114876295
"Iraq","IRQ","Not Free",0.260775089263916,8.39230940457077,17.6013023395764,69.8682861328125,68.75879409409,78.7156,15.511,3.77933921900415,-0.297071449402422
"Iceland","ISL","Free",0.5,10.9613972077804,12.853183740961,94.1787071228028,93.0487199615013,99.8082,3.789,0,2.27201635380725
"Israel","ISR","Free",0.656655550003052,10.6576448996165,16.0728367445527,91.4979834273327,60.6448526742952,91.8508,3.695,0.0114565836241074,1.96826404564334
"Italy","ITA","Free",0.0635396167635918,10.430930932943,17.8932796191124,69.4839779766539,72.0165023032697,85.0607,8.069,0.0741842292310443,1.74155007896985
"Jordan","JOR","Not Free",0.731710970401764,8.27124208614862,16.2364352428197,92.4048379066163,104.095459439189,90.5,18.2,0.0142611383692913,-0.418138767824578
"Japan","JPN","Free",0.576072692871094,10.497872663331,18.6448237076876,91.9776532428406,46.8129868368938,84.9234,2.6,0.00222883541958328,1.80849180935776
"Kazakhstan","KAZ","Not Free",0.876964032649994,9.31094091865564,16.8129717860147,61.444157327248,68.3343147415612,92.2969,4.86,2.76284147316188,0.621560064682448
"Kenya","KEN","Partly Free",0.87994247674942,7.46595977897293,17.8091589134112,31.4307820066946,40.2753238373561,35,5.707,0,-1.22342107500027
"Kyrgyzstan","KGZ","Not Free",0.953488826751709,7.10017412548183,15.7578744263929,34.7003053497743,133.786718048766,82.5991,4.043,0.0792081968298974,-1.58920672849136
"Cambodia","KHM","Not Free",0.0705993622541428,7.60652379674559,16.6605201693189,40.374616187368,145.873632761406,59.6606,0.231,0.0402122956294575,-1.08285705722761
"Korea (the Republic of)","KOR","Free",0.75,10.4859549231135,17.7604376184003,81.1624941626873,90.5851475278549,97.1686,2.857,0.0279190277065697,1.79657406914033
"Lebanon","LBN","Partly Free",0.65862500667572,8.68423807097632,15.5637515183986,90.206313713022,114.888278265666,82.798,11.6,0,-0.00514278299687909
"Libya","LBY","Not Free",0.952390134334564,8.85404848222905,15.7928923803591,87.8486088593786,156.321684682347,88.6412,19.282,4.04965985991057,0.164667628255856
"Sri Lanka","LKA","Partly Free",0.642068147659302,8.30230190003932,16.9147466245329,19.9877933196367,46.6826080196819,48.3,4.528,0,-0.387078953933878
"Lesotho","LSO","Free",0.753344297409058,6.87473535853808,14.6423622411643,41.6703965165322,142.373981074229,46.5007,16.688,0,-1.81464549543512
"Lithuania","LTU","Free",0.424937754869461,9.84609756646498,14.8563662539191,68.2866452426813,175.651612151093,87.7242,5.955,0.0158227013643335,1.15671671249178
"Luxembourg","LUX","Free",0,11.5849408435151,13.3894901293575,94.7605400940185,412.177169924175,98.242,4.588,0,2.89555998954195
"Latvia","LVA","Free",0.358918607234955,9.70633911029291,14.4464540894502,68.2570218109034,159.892778190649,91.0301,6.815,0.0633497540776693,1.01695825631971
"Morocco","MAR","Partly Free",0.749740600585938,8.11220145757692,17.4352827769091,62.5118468550703,100.906310201651,89.9,9.494,0.00101067420825036,-0.577179396396277
"Moldova (the Republic of)","MDA","Partly Free",0.272905230522156,8.19200441372033,14.7431977033228,42.4048843383789,112.117671579766,76.7412,0.897,0.0116389674089637,-0.497376440252864
"Madagascar","MDG","Partly Free",0.772703289985657,6.08339689972924,17.2311781066202,31.5397813465886,70.5471344130961,18.5532,3.186,0.0805009442419589,-2.60598395424396
"Maldives","MDV","Partly Free",0.5,9.3001807402514,13.1694492329216,41.0641769690663,162.243432933656,83.9119,4.419,0,0.610799886278203
"Mexico","MEX","Partly Free",0.315201699733734,9.21166428757448,18.6723193630111,79.199683215791,88.7984855867186,78.6322,3.256,1.12035543298782,0.522283433601284
"North Macedonia","MKD","Partly Free",0.500497341156006,8.74043709121867,14.420761606618,61.9530566607267,166.147357379878,85.008,14.476,0,0.0510562372454757
"Mali","MLI","Not Free",0.88713139295578,6.7774391033553,16.9541580579331,30.4015705681899,61.5613274861987,34.3797,2.387,0,-1.9119417506179
"Malta","MLT","Free",1,10.3555378148356,13.1827300836105,95.6003155132879,245.160375092004,91.5406,2.921,0,1.66615696086245
"Mongolia","MNG","Free",0.773465514183044,8.34424014360886,15.0491629339379,69.783805847168,136.327929944516,82.1725,6.211,0.915152378983681,-0.34514071036433
"Mozambique","MOZ","Partly Free",0.925022959709167,6.39033947000543,17.3015466970754,35.0536638047945,135.279578416991,18.7913,3.596,0.076324325706367,-2.29904138396776
